enzyme,sample_row,plate_well,well_number,treatment,time_min,corrected_absorbance
AChE,A,A:2,2,grapefruit,0.0,1.55
AChE,A,A:2,2,grapefruit,0.98,1.73
AChE,A,A:2,2,grapefruit,1.98,1.8999999999999997
AChE,A,A:2,2,grapefruit,2.981,2.0700000000000003
AChE,A,A:2,2,grapefruit,3.982,2.2199999999999998
AChE,A,A:2,2,grapefruit,4.98,2.3499999999999996
AChE,A,A:2,2,grapefruit,5.98,2.42
AChE,A,A:2,2,grapefruit,6.981,2.55
AChE,A,A:2,2,grapefruit,7.982,2.6500000000000004
AChE,A,A:2,2,grapefruit,8.983,2.6799999999999997
AChE,A,A:2,2,grapefruit,9.982,2.76
AChE,A,A:2,2,grapefruit,10.983,2.84
AChE,A,A:2,2,grapefruit,11.983,2.87
AChE,A,A:2,2,grapefruit,12.984,2.83
AChE,A,A:2,2,grapefruit,13.985,2.8699999999999997
AChE,A,A:2,2,grapefruit,14.985,2.8800000000000003
AChE,A,A:2,2,grapefruit,15.985,3.02
AChE,A,A:2,2,grapefruit,16.985,2.93
AChE,A,A:2,2,grapefruit,17.986,2.9499999999999997
AChE,A,A:2,2,grapefruit,18.987,2.91
AChE,A,A:3,3,grapefruit,0.0,1.4799999999999998
AChE,A,A:3,3,grapefruit,0.98,1.62
AChE,A,A:3,3,grapefruit,1.98,1.82
AChE,A,A:3,3,grapefruit,2.981,1.9799999999999998
AChE,A,A:3,3,grapefruit,3.982,2.13
AChE,A,A:3,3,grapefruit,4.98,2.2699999999999996
AChE,A,A:3,3,grapefruit,5.98,2.3600000000000003
AChE,A,A:3,3,grapefruit,6.981,2.5
AChE,A,A:3,3,grapefruit,7.982,2.6100000000000003
AChE,A,A:3,3,grapefruit,8.983,2.66
AChE,A,A:3,3,grapefruit,9.982,2.8
AChE,A,A:3,3,grapefruit,10.983,2.8200000000000003
AChE,A,A:3,3,grapefruit,11.983,2.8099999999999996
AChE,A,A:3,3,grapefruit,12.984,2.83
AChE,A,A:3,3,grapefruit,13.985,2.8699999999999997
AChE,A,A:3,3,grapefruit,14.985,2.8800000000000003
AChE,A,A:3,3,grapefruit,15.985,2.97
AChE,A,A:3,3,grapefruit,16.985,2.89
AChE,A,A:3,3,grapefruit,17.986,2.9200000000000004
AChE,A,A:3,3,grapefruit,18.987,2.96
AChE,A,A:4,4,grapefruit,0.0,-1.131
AChE,A,A:4,4,grapefruit,0.98,-1.1520000000000001
AChE,A,A:4,4,grapefruit,1.98,-1.137
AChE,A,A:4,4,grapefruit,2.981,-1.1360000000000001
AChE,A,A:4,4,grapefruit,3.982,-1.143
AChE,A,A:4,4,grapefruit,4.98,-1.141
AChE,A,A:4,4,grapefruit,5.98,-1.1380000000000001
AChE,A,A:4,4,grapefruit,6.981,-1.1260000000000001
AChE,A,A:4,4,grapefruit,7.982,-1.116
AChE,A,A:4,4,grapefruit,8.983,-1.109
AChE,A,A:4,4,grapefruit,9.982,-1.101
AChE,A,A:4,4,grapefruit,10.983,-1.107
AChE,A,A:4,4,grapefruit,11.983,-1.097
AChE,A,A:4,4,grapefruit,12.984,-1.099
AChE,A,A:4,4,grapefruit,13.985,-1.088
AChE,A,A:4,4,grapefruit,14.985,-1.084
AChE,A,A:4,4,grapefruit,15.985,-1.079
AChE,A,A:4,4,grapefruit,16.985,-1.088
AChE,A,A:4,4,grapefruit,17.986,-1.079
AChE,A,A:4,4,grapefruit,18.987,-1.082
AChE,A,A:5,5,grapefruit,0.0,0.72
AChE,A,A:5,5,grapefruit,0.98,0.81
AChE,A,A:5,5,grapefruit,1.98,0.8999999999999997
AChE,A,A:5,5,grapefruit,2.981,1.01
AChE,A,A:5,5,grapefruit,3.982,1.0999999999999999
AChE,A,A:5,5,grapefruit,4.98,1.1899999999999997
AChE,A,A:5,5,grapefruit,5.98,1.28
AChE,A,A:5,5,grapefruit,6.981,1.3900000000000001
AChE,A,A:5,5,grapefruit,7.982,1.4999999999999998
AChE,A,A:5,5,grapefruit,8.983,1.6
AChE,A,A:5,5,grapefruit,9.982,1.6999999999999997
AChE,A,A:5,5,grapefruit,10.983,1.79
AChE,A,A:5,5,grapefruit,11.983,1.89
AChE,A,A:5,5,grapefruit,12.984,1.9399999999999997
AChE,A,A:5,5,grapefruit,13.985,2.0
AChE,A,A:5,5,grapefruit,14.985,2.03
AChE,A,A:5,5,grapefruit,15.985,2.09
AChE,A,A:5,5,grapefruit,16.985,2.14
AChE,A,A:5,5,grapefruit,17.986,2.18
AChE,A,A:5,5,grapefruit,18.987,2.24
AChE,A,A:6,6,grapefruit,0.0,1.0399999999999998
AChE,A,A:6,6,grapefruit,0.98,1.19
AChE,A,A:6,6,grapefruit,1.98,1.39
AChE,A,A:6,6,grapefruit,2.981,1.5599999999999998
AChE,A,A:6,6,grapefruit,3.982,1.7099999999999997
AChE,A,A:6,6,grapefruit,4.98,1.84
AChE,A,A:6,6,grapefruit,5.98,1.95
AChE,A,A:6,6,grapefruit,6.981,2.11
AChE,A,A:6,6,grapefruit,7.982,2.24
AChE,A,A:6,6,grapefruit,8.983,2.35
AChE,A,A:6,6,grapefruit,9.982,2.46
AChE,A,A:6,6,grapefruit,10.983,2.56
AChE,A,A:6,6,grapefruit,11.983,2.62
AChE,A,A:6,6,grapefruit,12.984,2.6799999999999997
AChE,A,A:6,6,grapefruit,13.985,2.72
AChE,A,A:6,6,grapefruit,14.985,2.6999999999999997
AChE,A,A:6,6,grapefruit,15.985,2.8699999999999997
AChE,A,A:6,6,grapefruit,16.985,2.8400000000000003
AChE,A,A:6,6,grapefruit,17.986,2.86
AChE,A,A:6,6,grapefruit,18.987,2.87
AChE,A,A:7,7,grapefruit,0.0,1.34
AChE,A,A:7,7,grapefruit,0.98,1.56
AChE,A,A:7,7,grapefruit,1.98,1.78
AChE,A,A:7,7,grapefruit,2.981,1.99
AChE,A,A:7,7,grapefruit,3.982,2.1799999999999997
AChE,A,A:7,7,grapefruit,4.98,2.3499999999999996
AChE,A,A:7,7,grapefruit,5.98,2.45
AChE,A,A:7,7,grapefruit,6.981,2.61
AChE,A,A:7,7,grapefruit,7.982,2.74
AChE,A,A:7,7,grapefruit,8.983,2.7199999999999998
AChE,A,A:7,7,grapefruit,9.982,2.8
AChE,A,A:7,7,grapefruit,10.983,2.8499999999999996
AChE,A,A:7,7,grapefruit,11.983,2.8899999999999997
AChE,A,A:7,7,grapefruit,12.984,2.92
AChE,A,A:7,7,grapefruit,13.985,2.9099999999999997
AChE,A,A:7,7,grapefruit,14.985,2.8800000000000003
AChE,A,A:7,7,grapefruit,15.985,2.98
AChE,A,A:7,7,grapefruit,16.985,2.8800000000000003
AChE,A,A:7,7,grapefruit,17.986,2.9200000000000004
AChE,A,A:7,7,grapefruit,18.987,2.9699999999999998
AChE,A,A:8,8,grapefruit,0.0,1.2699999999999998
AChE,A,A:8,8,grapefruit,0.98,1.46
AChE,A,A:8,8,grapefruit,1.98,1.66
AChE,A,A:8,8,grapefruit,2.981,1.8299999999999998
AChE,A,A:8,8,grapefruit,3.982,1.9999999999999998
AChE,A,A:8,8,grapefruit,4.98,2.16
AChE,A,A:8,8,grapefruit,5.98,2.2800000000000002
AChE,A,A:8,8,grapefruit,6.981,2.42
AChE,A,A:8,8,grapefruit,7.982,2.55
AChE,A,A:8,8,grapefruit,8.983,2.6
AChE,A,A:8,8,grapefruit,9.982,2.71
AChE,A,A:8,8,grapefruit,10.983,2.75
AChE,A,A:8,8,grapefruit,11.983,2.8099999999999996
AChE,A,A:8,8,grapefruit,12.984,2.8499999999999996
AChE,A,A:8,8,grapefruit,13.985,2.8400000000000003
AChE,A,A:8,8,grapefruit,14.985,2.8299999999999996
AChE,A,A:8,8,grapefruit,15.985,2.94
AChE,A,A:8,8,grapefruit,16.985,2.9599999999999995
AChE,A,A:8,8,grapefruit,17.986,2.89
AChE,A,A:8,8,grapefruit,18.987,2.92
AChE,A,A:9,9,grapefruit,0.0,1.18
AChE,A,A:9,9,grapefruit,0.98,1.3599999999999999
AChE,A,A:9,9,grapefruit,1.98,1.59
AChE,A,A:9,9,grapefruit,2.981,1.78
AChE,A,A:9,9,grapefruit,3.982,1.9599999999999997
AChE,A,A:9,9,grapefruit,4.98,2.1100000000000003
AChE,A,A:9,9,grapefruit,5.98,2.2299999999999995
