enzyme,time_min,sample_row,well_number,plate_well,absorbance,blank_absorbance,corrected_absorbance
AChE,0.0,A,1,A:1,1.36,1.36,0.0
AChE,0.98,A,1,A:1,1.37,1.37,0.0
AChE,1.98,A,1,A:1,1.36,1.36,0.0
AChE,2.981,A,1,A:1,1.36,1.36,0.0
AChE,3.982,A,1,A:1,1.36,1.36,0.0
AChE,4.98,A,1,A:1,1.36,1.36,0.0
AChE,5.98,A,1,A:1,1.36,1.36,0.0
AChE,6.981,A,1,A:1,1.35,1.35,0.0
AChE,7.982,A,1,A:1,1.34,1.34,0.0
AChE,8.983,A,1,A:1,1.33,1.33,0.0
AChE,9.982,A,1,A:1,1.33,1.33,0.0
AChE,10.983,A,1,A:1,1.33,1.33,0.0
AChE,11.983,A,1,A:1,1.32,1.32,0.0
AChE,12.984,A,1,A:1,1.32,1.32,0.0
AChE,13.985,A,1,A:1,1.31,1.31,0.0
AChE,14.985,A,1,A:1,1.31,1.31,0.0
AChE,15.985,A,1,A:1,1.31,1.31,0.0
AChE,16.985,A,1,A:1,1.31,1.31,0.0
AChE,17.986,A,1,A:1,1.31,1.31,0.0
AChE,18.987,A,1,A:1,1.3,1.3,0.0
AChE,0.0,A,2,A:2,2.91,1.36,1.55
AChE,0.98,A,2,A:2,3.1,1.37,1.73
AChE,1.98,A,2,A:2,3.26,1.36,1.8999999999999997
AChE,2.981,A,2,A:2,3.43,1.36,2.0700000000000003
AChE,3.982,A,2,A:2,3.58,1.36,2.2199999999999998
AChE,4.98,A,2,A:2,3.71,1.36,2.3499999999999996
AChE,5.98,A,2,A:2,3.78,1.36,2.42
AChE,6.981,A,2,A:2,3.9,1.35,2.55
AChE,7.982,A,2,A:2,3.99,1.34,2.6500000000000004
AChE,8.983,A,2,A:2,4.01,1.33,2.6799999999999997
AChE,9.982,A,2,A:2,4.09,1.33,2.76
AChE,10.983,A,2,A:2,4.17,1.33,2.84
AChE,11.983,A,2,A:2,4.19,1.32,2.87
AChE,12.984,A,2,A:2,4.15,1.32,2.83
AChE,13.985,A,2,A:2,4.18,1.31,2.8699999999999997
AChE,14.985,A,2,A:2,4.19,1.31,2.8800000000000003
AChE,15.985,A,2,A:2,4.33,1.31,3.02
AChE,16.985,A,2,A:2,4.24,1.31,2.93
AChE,17.986,A,2,A:2,4.26,1.31,2.9499999999999997
AChE,18.987,A,2,A:2,4.21,1.3,2.91
AChE,0.0,A,3,A:3,2.84,1.36,1.4799999999999998
AChE,0.98,A,3,A:3,2.99,1.37,1.62
AChE,1.98,A,3,A:3,3.18,1.36,1.82
AChE,2.981,A,3,A:3,3.34,1.36,1.9799999999999998
AChE,3.982,A,3,A:3,3.49,1.36,2.13
AChE,4.98,A,3,A:3,3.63,1.36,2.2699999999999996
AChE,5.98,A,3,A:3,3.72,1.36,2.3600000000000003
AChE,6.981,A,3,A:3,3.85,1.35,2.5
AChE,7.982,A,3,A:3,3.95,1.34,2.6100000000000003
AChE,8.983,A,3,A:3,3.99,1.33,2.66
AChE,9.982,A,3,A:3,4.13,1.33,2.8
AChE,10.983,A,3,A:3,4.15,1.33,2.8200000000000003
AChE,11.983,A,3,A:3,4.13,1.32,2.8099999999999996
AChE,12.984,A,3,A:3,4.15,1.32,2.83
AChE,13.985,A,3,A:3,4.18,1.31,2.8699999999999997
AChE,14.985,A,3,A:3,4.19,1.31,2.8800000000000003
AChE,15.985,A,3,A:3,4.28,1.31,2.97
AChE,16.985,A,3,A:3,4.2,1.31,2.89
AChE,17.986,A,3,A:3,4.23,1.31,2.9200000000000004
AChE,18.987,A,3,A:3,4.26,1.3,2.96
AChE,0.0,A,4,A:4,0.229,1.36,-1.131
AChE,0.98,A,4,A:4,0.218,1.37,-1.1520000000000001
AChE,1.98,A,4,A:4,0.223,1.36,-1.137
AChE,2.981,A,4,A:4,0.224,1.36,-1.1360000000000001
AChE,3.982,A,4,A:4,0.217,1.36,-1.143
AChE,4.98,A,4,A:4,0.219,1.36,-1.141
AChE,5.98,A,4,A:4,0.222,1.36,-1.1380000000000001
AChE,6.981,A,4,A:4,0.224,1.35,-1.1260000000000001
AChE,7.982,A,4,A:4,0.224,1.34,-1.116
AChE,8.983,A,4,A:4,0.221,1.33,-1.109
AChE,9.982,A,4,A:4,0.229,1.33,-1.101
AChE,10.983,A,4,A:4,0.223,1.33,-1.107
AChE,11.983,A,4,A:4,0.223,1.32,-1.097
AChE,12.984,A,4,A:4,0.221,1.32,-1.099
AChE,13.985,A,4,A:4,0.222,1.31,-1.088
AChE,14.985,A,4,A:4,0.226,1.31,-1.084
AChE,15.985,A,4,A:4,0.231,1.31,-1.079
AChE,16.985,A,4,A:4,0.222,1.31,-1.088
AChE,17.986,A,4,A:4,0.231,1.31,-1.079
AChE,18.987,A,4,A:4,0.218,1.3,-1.082
AChE,0.0,A,5,A:5,2.08,1.36,0.72
AChE,0.98,A,5,A:5,2.18,1.37,0.81
AChE,1.98,A,5,A:5,2.26,1.36,0.8999999999999997
AChE,2.981,A,5,A:5,2.37,1.36,1.01
AChE,3.982,A,5,A:5,2.46,1.36,1.0999999999999999
AChE,4.98,A,5,A:5,2.55,1.36,1.1899999999999997
AChE,5.98,A,5,A:5,2.64,1.36,1.28
AChE,6.981,A,5,A:5,2.74,1.35,1.3900000000000001
